timestamp,temperature,hour,day_of_year
2025-01-01 00:00:00,-5.0,0.0,1
2025-01-01 00:15:00,-5.0,0.25,1
2025-01-01 00:30:00,-5.0,0.5,1
2025-01-01 00:45:00,-5.0,0.75,1
2025-01-01 01:00:00,-5.0,1.0,1
2025-01-01 01:15:00,-5.0,1.25,1
2025-01-01 01:30:00,-5.0,1.5,1
2025-01-01 01:45:00,-5.0,1.75,1
2025-01-01 02:00:00,-5.0,2.0,1
2025-01-01 02:15:00,-5.0,2.25,1
2025-01-01 02:30:00,-5.0,2.5,1
2025-01-01 02:45:00,-5.0,2.75,1
2025-01-01 03:00:00,-5.0,3.0,1
2025-01-01 03:15:00,-5.0,3.25,1
2025-01-01 03:30:00,-5.0,3.5,1
2025-01-01 03:45:00,-5.0,3.75,1
2025-01-01 04:00:00,-5.0,4.0,1
2025-01-01 04:15:00,-5.0,4.25,1
2025-01-01 04:30:00,-4.42788349875688,4.5,1
2025-01-01 04:45:00,-4.191741816688488,4.75,1
2025-01-01 05:00:00,-3.7026466175290667,5.0,1
2025-01-01 05:15:00,-2.691133212196347,5.25,1
2025-01-01 05:30:00,-3.40877115729827,5.5,1
2025-01-01 05:45:00,-2.5919265439491515,5.75,1
2025-01-01 06:00:00,-3.4959556688841786,6.0,1
2025-01-01 06:15:00,-3.9024878742107405,6.25,1
2025-01-01 06:30:00,-3.186138915619032,6.5,1
2025-01-01 06:45:00,-4.1194434308192625,6.75,1
2025-01-01 07:00:00,-4.082871830710622,7.0,1
2025-01-01 07:15:00,-4.532248926813274,7.25,1
2025-01-01 07:30:00,-4.51401456552498,7.5,1
2025-01-01 07:45:00,-5.0,7.75,1
2025-01-01 08:00:00,-5.0,8.0,1
2025-01-01 08:15:00,-5.0,8.25,1
2025-01-01 08:30:00,-5.0,8.5,1
2025-01-01 08:45:00,-5.0,8.75,1
2025-01-01 09:00:00,-5.0,9.0,1
2025-01-01 09:15:00,-4.702988894783453,9.25,1
2025-01-01 09:30:00,-4.964173755031568,9.5,1
2025-01-01 09:45:00,-4.382934211539833,9.75,1
2025-01-01 10:00:00,-4.578905402464465,10.0,1
2025-01-01 10:15:00,-5.0,10.25,1
2025-01-01 10:30:00,-5.0,10.5,1
2025-01-01 10:45:00,-4.3801505224136985,10.75,1
2025-01-01 11:00:00,-3.7300825228457826,11.0,1
2025-01-01 11:15:00,-3.3494969210632966,11.25,1
2025-01-01 11:30:00,-1.2979831253508727,11.5,1
2025-01-01 11:45:00,-0.7289660472534109,11.75,1
2025-01-01 12:00:00,0.21202433697724743,12.0,1
2025-01-01 12:15:00,1.9905305178066146,12.25,1
2025-01-01 12:30:00,1.2091514723104453,12.5,1
2025-01-01 12:45:00,0.6457626244487452,12.75,1
2025-01-01 13:00:00,2.0571190068799954,13.0,1
2025-01-01 13:15:00,1.6161078372355164,13.25,1
2025-01-01 13:30:00,1.7726403578395593,13.5,1
2025-01-01 13:45:00,2.6438051769920197,13.75,1
2025-01-01 14:00:00,3.3397687459026244,14.0,1
2025-01-01 14:15:00,4.597939715621726,14.25,1
2025-01-01 14:30:00,5.60254238756083,14.5,1
2025-01-01 14:45:00,6.248117901975952,14.75,1
2025-01-01 15:00:00,5.560336630813822,15.0,1
2025-01-01 15:15:00,5.9915010188382585,15.25,1
2025-01-01 15:30:00,6.0508685932573965,15.5,1
2025-01-01 15:45:00,4.944043908748483,15.75,1
2025-01-01 16:00:00,5.797249002338695,16.0,1
2025-01-01 16:15:00,6.164052220890932,16.25,1
2025-01-01 16:30:00,5.961775160982656,16.5,1
2025-01-01 16:45:00,5.556342141425895,16.75,1
2025-01-01 17:00:00,4.47660560004693,17.0,1
2025-01-01 17:15:00,4.409819290833045,17.25,1
2025-01-01 17:30:00,4.514596722225748,17.5,1
2025-01-01 17:45:00,3.6839871665204313,17.75,1
2025-01-01 18:00:00,4.269498538382223,18.0,1
2025-01-01 18:15:00,3.22314878326148,18.25,1
2025-01-01 18:30:00,1.4898380332799994,18.5,1
2025-01-01 18:45:00,2.0359624614211986,18.75,1
2025-01-01 19:00:00,1.523437546236998,19.0,1
2025-01-01 19:15:00,1.2096187974768775,19.25,1
2025-01-01 19:30:00,0.39260690409268484,19.5,1
2025-01-01 19:45:00,-0.9420079312373282,19.75,1
2025-01-01 20:00:00,-0.22720349130675133,20.0,1
2025-01-01 20:15:00,-0.9286892327316276,20.25,1
2025-01-01 20:30:00,0.030659153639240877,20.5,1
2025-01-01 20:45:00,0.32601610479409815,20.75,1
2025-01-01 21:00:00,-0.19659292747894475,21.0,1
2025-01-01 21:15:00,-1.2498268593759478,21.25,1
2025-01-01 21:30:00,-2.0190752343323237,21.5,1
2025-01-01 21:45:00,-3.1010495893353167,21.75,1
2025-01-01 22:00:00,-1.8333215803813165,22.0,1
2025-01-01 22:15:00,-1.9879280886995676,22.25,1
2025-01-01 22:30:00,-1.456726595008084,22.5,1
2025-01-01 22:45:00,-2.6551613317717697,22.75,1
2025-01-01 23:00:00,-2.7893714483661993,23.0,1
2025-01-01 23:15:00,-2.22740174904607,23.25,1
2025-01-01 23:30:00,-2.759556600700904,23.5,1
2025-01-01 23:45:00,-2.3145068964752284,23.75,1
2025-01-02 00:00:00,-3.377029461825243,0.0,2
2025-01-02 00:15:00,-4.584633242799233,0.25,2
2025-01-02 00:30:00,-4.513441050386679,0.5,2
2025-01-02 00:45:00,-4.977020207440927,0.75,2
2025-01-02 01:00:00,-4.701378605450318,1.0,2
2025-01-02 01:15:00,-5.0,1.25,2
2025-01-02 01:30:00,-5.0,1.5,2
2025-01-02 01:45:00,-4.173236497738389,1.75,2
2025-01-02 02:00:00,-4.386051572111809,2.0,2
2025-01-02 02:15:00,-4.539162250772043,2.25,2
2025-01-02 02:30:00,-4.57363619955954,2.5,2
2025-01-02 02:45:00,-5.0,2.75,2
2025-01-02 03:00:00,-5.0,3.0,2
2025-01-02 03:15:00,-5.0,3.25,2
2025-01-02 03:30:00,-5.0,3.5,2
2025-01-02 03:45:00,-5.0,3.75,2
2025-01-02 04:00:00,-5.0,4.0,2
2025-01-02 04:15:00,-5.0,4.25,2
2025-01-02 04:30:00,-5.0,4.5,2
2025-01-02 04:45:00,-5.0,4.75,2
2025-01-02 05:00:00,-5.0,5.0,2
2025-01-02 05:15:00,-5.0,5.25,2
2025-01-02 05:30:00,-5.0,5.5,2
2025-01-02 05:45:00,-5.0,5.75,2
2025-01-02 06:00:00,-5.0,6.0,2
2025-01-02 06:15:00,-5.0,6.25,2
2025-01-02 06:30:00,-5.0,6.5,2
2025-01-02 06:45:00,-5.0,6.75,2
2025-01-02 07:00:00,-4.220176656813155,7.0,2
2025-01-02 07:15:00,-4.248356094351607,7.25,2
2025-01-02 07:30:00,-3.496475368345111,7.5,2
2025-01-02 07:45:00,-2.9804616590858646,7.75,2
2025-01-02 08:00:00,-2.487865489262611,8.0,2
2025-01-02 08:15:00,-2.727006863976664,8.25,2
2025-01-02 08:30:00,-3.238447601618172,8.5,2
2025-01-02 08:45:00,-3.7777417552221957,8.75,2
2025-01-02 09:00:00,-4.031788634199552,9.0,2
2025-01-02 09:15:00,-3.5014853759549553,9.25,2
2025-01-02 09:30:00,-2.674122069798934,9.5,2
2025-01-02 09:45:00,-2.179210865342175,9.75,2
2025-01-02 10:00:00,-2.3055931985424682,10.0,2
2025-01-02 10:15:00,-0.7641242198236742,10.25,2
2025-01-02 10:30:00,0.5112624748363683,10.5,2
2025-01-02 10:45:00,0.42266666280094456,10.75,2
2025-01-02 11:00:00,0.019473918184214067,11.0,2
2025-01-02 11:15:00,0.31230979821349636,11.25,2
2025-01-02 11:30:00,1.3934847608733674,11.5,2
2025-01-02 11:45:00,1.7721254053185256,11.75,2
2025-01-02 12:00:00,2.2928319462565168,12.0,2
2025-01-02 12:15:00,2.252445015383625,12.25,2
2025-01-02 12:30:00,2.6835251404046545,12.5,2
2025-01-02 12:45:00,3.8550578660712,12.75,2
2025-01-02 13:00:00,3.7178920267897677,13.0,2
2025-01-02 13:15:00,3.853112629771693,13.25,2
2025-01-02 13:30:00,4.05500113051772,13.5,2
2025-01-02 13:45:00,4.262449280064031,13.75,2
2025-01-02 14:00:00,3.2659806064295953,14.0,2
2025-01-02 14:15:00,1.9859310975558668,14.25,2
2025-01-02 14:30:00,1.3607451069197132,14.5,2
2025-01-02 14:45:00,1.587717426592045,14.75,2
2025-01-02 15:00:00,2.061875649749881,15.0,2
2025-01-02 15:15:00,1.740412933033273,15.25,2
2025-01-02 15:30:00,2.756752510214098,15.5,2
2025-01-02 15:45:00,2.6431258775125137,15.75,2
2025-01-02 16:00:00,2.633820197715585,16.0,2
2025-01-02 16:15:00,2.4582878828125274,16.25,2
2025-01-02 16:30:00,2.5036098992685476,16.5,2
2025-01-02 16:45:00,2.9277184493598813,16.75,2
2025-01-02 17:00:00,3.2845201635086316,17.0,2
2025-01-02 17:15:00,2.5091159303407027,17.25,2
2025-01-02 17:30:00,3.447928354848442,17.5,2
2025-01-02 17:45:00,2.4862866024704395,17.75,2
2025-01-02 18:00:00,2.3739453452240036,18.0,2
2025-01-02 18:15:00,1.9986858990265468,18.25,2
2025-01-02 18:30:00,1.0788243333426735,18.5,2
